Pengamat	O
politik	O
dari	O
Universitas	ORGANIZATION
Gadjah	ORGANIZATION
Mada	ORGANIZATION
,	O
Arie	PERSON
Sudjito	PERSON
,	O
menilai,	O
keinginan	O
Ketua	O
Umum	O
Partai	ORGANIZATION
Golkar	ORGANIZATION
Aburizal	PERSON
Bakrie	PERSON
untuk	O
maju	O
kembali	O
sebagai	O
ketua	O
umum	O
merupakan	O
pemaksaan	O
kehendak	O
.	O

Menurut	O
dia,	O
ada	O
kesan	O
bahwa	O
Aburizal	PERSON
menggunakan	O
segala	O
cara	O
untuk	O
memuluskan	O
jalannya	O
kembali	O
menduduki	O
Golkar	ORGANIZATION
1	O
.	O

Hal	O
ini,	O
kata	O
Arie	PERSON
,	O
berpotensi	O
menimbukan	O
perpecahan	O
di	O
kalangan	O
kader	O
Golkar	PERSON
di	O
daerah	O
.	O

"Tentu	O
ini	O
akan	O
merugikan	O
Golkar	ORGANIZATION
karena	O
Golkar	ORGANIZATION
akan	O
pecah	O
dan	O
konflik	O
di	O
daerah	O
dipastikan	O
akan	O
terjadi,"	O
ujar	O
Arie	PERSON
,	O
saat	O
dihubungi	O
Kompas.com,	O
Selasa	TIME
(2/12/2014)	TIME
.	O
Arie	PERSON
mengatakan,	O
sikap	O
Aburizal	PERSON
tersebut	O
ditentang	O
oleh	O
sebagian	O
kalangan	O
di	O
internal	O
Golkar	ORGANIZATION
yang	O
melakukan	O
perlawanan	O
dengan	O
membentuk	O
Presidium	ORGANIZATION
Penyelamat	ORGANIZATION
Partai	ORGANIZATION
Golkar	ORGANIZATION
.	O
Selain	O
itu,	O
dua	O
calon	O
ketua	O
umum	O
menyatakan	O
mundur	O
dan	O
tak	O
akan	O
mencalonkan	O
diri	O
.	O

Mereka	O
adalah	O
MS	PERSON
Hidayat	PERSON
dan	O
Airlangga	PERSON
Hartarto	PERSON
.	O
Hidayat	PERSON
dan	O
Airlangga	PERSON
mundur	O
karena	O
menganggap	O
ada	O
proses	O
yang	O
tidak	O
demokratis	O
dan	O
tidak	O
fair	O
dalam	O
Munas	O
IX	O
yang	O
berlangsung	O
di	O
Bali	LOCATION
.	O
"Upaya	O
Airlangga	PERSON
serius	O
bertarung,	O
tapi	O
melihat	O
gelagat	O
tidak	O
sehat,	O
maka	O
lebih	O
baik	O
mundur	O
.	O

Itu	O
pun	O
jalan	O
moderat,"	O
kata	O
Arie	PERSON
.	O
Dengan	O
mundurnya	O
Hidayat	PERSON
dan	O
Airlangga	PERSON
,	O
Aburizal	PERSON
berpotensi	O
menjadi	O
calon	O
tunggal	O
ketua	O
umum	O
yang	O
akan	O
dipilih	O
dalam	O
Munas	O
IX	O
.	O

Menurut	O
Arie	PERSON
,	O
jika	O
Aburizal	PERSON
terus	O
memaksakan	O
kehendaknya,	O
bukan	O
tidak	O
mungkin	O
Golkar	ORGANIZATION
akan	O
menyusul	O
Partai	ORGANIZATION
Persatuan	ORGANIZATION
Pembangunan	ORGANIZATION
yang	O
terpecah	O
karena	O
konflik	O
internal	O
.	O

Arie	PERSON
mengatakan,	O
para	O
petinggi	O
partai	O
segera	O
melakukan	O
langkah-langkah	O
untuk	O
menyelamatkan	O
partai	O
berlambang	O
pohon	O
beringin	O
tersebut	O
.	O

"Ini	O
indikasi	O
atau	O
tanda-tanda	O
kebangkrutan	O
Golkar	ORGANIZATION
,"	O
kata	O
Arie	PERSON
.	O
Wakil	O
Ketua	O
DPR	ORGANIZATION
Fadli	PERSON
Zon	PERSON
mengkritik	O
pemerintahan	O
Joko	PERSON
Widodo	PERSON
yang	O
dinilainya	O
lambat	O
dalam	O
melakukan	O
eksekusi	O
terhadap	O
para	O
terpidana	O
mati	O
kasus	O
narkoba	O
.	O

Menurut	O
Fadli	PERSON
,	O
semakin	O
cepat	O
eksekusi	O
dilakukan,	O
hal	O
itu	O
akan	O
semakin	O
baik	O
.	O

"Pemerintah	O
lambat,	O
eksekusi	O
lambat,	O
eksekusi	O
kapan	O
tidak	O
jelas	O
karena	O
lambatnya	O
pemerintah	O
mengambil	O
keputusan,"	O
kata	O
Fadil	PERSON
Zon	PERSON
di	O
Gedung	LOCATION
DPR,	LOCATION
Senayan,	LOCATION
Jakarta	LOCATION
,	O
Rabu	TIME
(11/3/2015)	TIME
.	O
Menurut	O
dia,	O
karena	O
lambatnya	O
eksekusi	O
mati	O
ini,	O
akhirnya	O
terjadi	O
perlawanan	O
dari	O
berbagai	O
pihak,	O
termasuk	O
para	O
terpidana	O
.	O

Terpidana	O
mati	O
kasus	O
narkoba	O
yang	O
merupakan	O
warga	O
negara	O
Perancis	LOCATION
,	O
Serge	PERSON
Atlaoui	PERSON
,	O
mengajukan	O
upaya	O
hukum	O
lanjutan	O
berupa	O
peninjauan	O
kembali	O
ke	O
Pengadilan	ORGANIZATION
Negeri	ORGANIZATION
Tangerang	ORGANIZATION
.	O
Sebelumnya,	O
terpidana	O
mati	O
asal	O
Filipina	LOCATION
,	O
Mary	PERSON
Jane	PERSON
Fiesta	PERSON
Veloso	PERSON
,	O
juga	O
telah	O
mengajukan	O
langkah	O
serupa	O
.	O

"Ini	O
membuat	O
segala	O
macam	O
ekses	O
terjadi	O
.	O

Pemerintah	O
harusnya	O
bisa	O
mengambil	O
sikap	O
dengan	O
cepat,"	O
ucap	O
politisi	O
Partai	ORGANIZATION
Gerindra	ORGANIZATION
itu	O
.	O

Selain	O
perlawanan	O
dari	O
terpidana,	O
menurut	O
Fadli	PERSON
,	O
Indonesia	LOCATION
juga	O
akan	O
terus	O
